"Entity";"Code";"Year";"waste";"Waste.total.or.missmanaged";"totalPop";"gdp";"wasteYear"
"268";"Seychelles";"SYC";2010;0.358;"total";86518;"203.651.189.331.513";130.67
"269";"Sierra Leone";"SLE";2010;0.041;"total";5867536;"119.998.985.027.502";14.965
"270";"Singapore";"SGP";2010;0.194;"total";5086418;"721.158.395.014.504";70.81
"271";"Slovenia";"SVN";2010;0.145;"total";2029680;"286.783.726.303.687";52.925
"272";"Solomon Islands";"SLB";2010;0.103;"total";538148;"187.136.935.209.356";37.595
"273";"South Africa";"ZAF";2010;0.24;"total";50132817;"118.878.050.343.927";87.6
"274";"South Korea";"KOR";2010;0.112;"total";48183584;"303.521.048.190.303";40.88
"275";"Spain";"ESP";2010;0.277;"total";46076989;"325.070.939.660.629";101.105
"276";"Sri Lanka";"LKA";2010;0.357;"total";20859949;"852.957.144.219.453";130.305
"277";"Sudan";"SDN";2010;0.103;"total";34136520;"336.609.626.107.549";37.595
"278";"Suriname";"SUR";2010;0.163;"total";524636;"142.118.775.163.255";59.495
"279";"Sweden";"SWE";2010;0.048;"total";9379687;"429.425.625.032.962";17.52
"280";"Tanzania";"TZA";2010;0.023;"total";44841226;"209.058.322.467.574";8.395
"281";"Thailand";"THA";2010;0.144;"total";69122234;"134.865.624.149.548";52.56
"282";"Togo";"TGO";2010;0.057;"total";6027798;"12.082.812.098.328";20.805
"283";"Tonga";"TON";2010;0.223;"total";104058;"498.419.362.951.029";81.395
"284";"Trinidad and Tobago";"TTO";2010;3.6;"total";1341465;"312.609.070.471.763";1314
"285";"Tunisia";"TUN";2010;0.144;"total";10480934;"104.363.655.998.628";52.56
"286";"Turkey";"TUR";2010;0.212;"total";72752325;"179.592.591.065.745";77.38
"287";"Tuvalu";"TUV";2010;0.144;"total";9827;"298.644.985.588.888";52.56
"288";"Ukraine";"UKR";2010;0.103;"total";45448329;"782.449.845.171.438";37.595
"289";"United Arab Emirates";"ARE";2010;0.199;"total";7511690;"572.326.180.757.649";72.635
"290";"United Kingdom";"GBR";2010;0.215;"total";62035570;"363.669.831.782.522";78.475
"291";"United States";"USA";2010;0.335;"total";310383948;"493.741.788.851.797";122.275
"292";"Uruguay";"URY";2010;0.252;"total";3368786;"170.824.046.586.765";91.98
"293";"Vanuatu";"VUT";2010;0.295;"total";239651;"294.803.293.729.183";107.675
"294";"Venezuela";"VEN";2010;0.252;"total";28979857;"165.449.720.552.598";91.98
"295";"Vietnam";"VNM";2010;0.103;"total";87848445;"440.816.861.192.198";37.595
"296";"Yemen";"YEM";2010;0.103;"total";NA;"44.787.435.991.429";37.595
